,2015,2016,2017,2018
accountsPayable,35490000000,37294000000,44242000000,55888000000
cash,21120000000,20484000000,20289000000,25913000000
commonStock,27416000000,31251000000,35867000000,40201000000
inventory,2349000000,2132000000,4855000000,3956000000
longTermDebt,53329000000,75427000000,97207000000,93735000000
longTermInvestments,164065000000,170430000000,194714000000,170799000000
netReceivables,30343000000,29299000000,35673000000,48995000000
netTangibleAssets,110346000000,119629000000,134047000000,107147000000
otherAssets,5422000000,8757000000,18177000000,22283000000
otherCurrentAssets,14691000000,8283000000,13936000000,12087000000
otherCurrentLiab,10939000000,8243000000,38099000000,40230000000
otherLiab,37051000000,39004000000,43251000000,47977000000
otherStockholderEquity,-345000000,634000000,-150000000,-3454000000
propertyPlantEquipment,22471000000,27010000000,33783000000,41304000000
retainedEarnings,92284000000,96364000000,98330000000,70400000000
shortLongTermDebt,2513000000,3500000000,6496000000,8784000000
shortTermInvestments,20481000000,46671000000,53892000000,40388000000
totalAssets,290345000000,321686000000,375319000000,365725000000
totalCurrentAssets,89378000000,106869000000,128645000000,131339000000
totalCurrentLiabilities,80610000000,79006000000,100814000000,116866000000
totalLiab,170990000000,193437000000,241272000000,258578000000
totalStockholderEquity,119355000000,128249000000,134047000000,107147000000
treasuryStock,-345000000,634000000,-150000000,-3454000000
