,year,2016,2017,2018,2019
0,revenue,70622860000.0,56866770000.0,73056740000.0,86750600000.0
1,total expenses,72002800000.0,61775820000.0,75047600000.0,
2,operating expenses,65316430000.0,55580330000.0,69538460000.0,80628900000.0
3,liquid assets,,,,11149700000.0
4,total debt,20771860000.0,16226510000.0,13738620000.0,
5,tax,792200000.0,258040000.0,111890000.0,1222500000.0
6,interest,-2078880000.0,-2129850000.0,-1660650000.0,-1773700000.0
7,depreciation,3815290000.0,3807600000.0,3736600000.0,
8,cost of revenue,44964040000.0,40904180000.0,53337840000.0,62767500000.0
9,total receivables,15455060000.0,15417750000.0,14029520000.0,11811700000.0
10,total liabilities,57078830000.0,53239570000.0,47826740000.0,54074600000.0
11,total assets,86384650000.0,82469330000.0,76933170000.0,82000300000.0
12,total capital,48760790000.0,44320880000.0,42278930000.0,
13,total equity,29305820000.0,29229760000.0,29106430000.0,27925700000.0
14,capital expenditures,29305820000.0,29229760000.0,29106430000.0,27925700000.0
15,net income,1518120000.0,264250000.0,1583030000.0,-132500000.0
16,gross profit,25658820000.0,15962590000.0,19718900000.0,23983100000.0
17,ebit,5306430000.0,1286440000.0,3518280000.0,6121700000.0
18,ebitda,8204490000.0,6459740000.0,7092170000.0,
19,quick ratio,,,,0.42462450022746356
20,income from continuing operations margin,0.07513756877022539,0.02262199875252278,0.048158184994293474,0.07056665890495283
21,net margin,0.02149615577732196,0.0046468262572324755,0.021668500401195015,-0.0015273669576925117
22,return on assets,,0.0031299232626912318,0.019862047333009208,-0.0016673643380466052
23,return on capital,,0.017966716755296718,0.06419046877816476,
24,return on equity,0.18107085896248595,0.044011309022037814,0.12087638367192403,0.21921384244620545
25,cash flow operations,5306430000.0,1286440000.0,3518280000.0,6121700000.0
26,free cash flow,6293018000.0,717547500.0,2750636500.0,
27,gross profit margin,0.36332173463379985,0.28070154151537,0.26991212583534385,0.27646033572102097
28,operating profit margin,0.07513756877022539,0.02262199875252278,0.048158184994293474,0.07056665890495283
29,net profit margin,0.02149615577732196,0.0046468262572324755,0.021668500401195015,-0.0015273669576925117
