,2016,2017,2018,2019
accountsPayable,23447000000,23452000000.0,68129000000.0,88304000000
capitalSurplus,14642000000,469000000.0,800000000.0,533000000
cash,99049000000,52710000000.0,44925000000.0,158529000000
commonStock,4941000000,4861000000.0,9048000000.0,12068000000
deferredLongTermAssetCharges,4286000000,3098000000.0,6908000000.0,5604000000
deferredLongTermLiab,3807000000,,,4212000000
goodWill,101991000000,125796000000.0,117584000000.0,116980000000
intangibleAssets,15841000000,15922000000.0,18113000000.0,13762000000
inventory,5390000000,3915000000.0,3370000000.0,3951000000
longTermDebt,11531000000,14954000000.0,43546000000.0,28368000000
longTermInvestments,4907000000,7129000000.0,8874000000.0,8151000000
minorityInterest,2212000000,2391000000.0,2410000000.0,2637000000
netReceivables,164001000000,153948000000.0,152706000000.0,160241000000
netTangibleAssets,347340000000,378586000000.0,347239000000.0,437374000000
otherAssets,33487000000,35977000000.0,45470000000.0,51771000000
otherCurrentAssets,16032000000,18719000000.0,53350000000.0,16321000000
otherCurrentLiab,33149000000,31991000000.0,52387000000.0,39452000000
otherLiab,20697000000,21667000000.0,16519000000.0,19700000000
otherStockholderEquity,20471000000,24044000000.0,19823000000.0,20815000000
propertyPlantEquipment,64952000000,69794000000.0,64443000000.0,70601000000
retainedEarnings,425118000000,490930000000.0,453265000000.0,534700000000
shortLongTermDebt,2060000000,2436000000.0,11142000000.0,71095000000
shortTermInvestments,70874000000,46041000000.0,27588000000.0,206756000000
totalAssets,724003000000,793516000000.0,760640000000.0,833171000000
totalCurrentAssets,502825000000,538898000000.0,506156000000.0,571906000000
totalCurrentLiabilities,218561000000,229543000000.0,213507000000.0,214350000000
totalLiab,256619000000,270821000000.0,275294000000.0,262418000000
totalStockholderEquity,465172000000,520304000000.0,482936000000.0,568116000000
treasuryStock,20471000000,24044000000.0,19823000000.0,20815000000
